Class Label,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22
1,13.4164,13.4536,10.7703,12.083,5,4.1231,5.099,3.1623,5.3852,5.099,5,3.1623,5,2.2361,6.3246,5.099,4.1231,3.6056,5.099,5.099,4.1231,5.831
1,5.831,8.4853,9.8489,7.0711,2.2361,3.6056,5,2.2361,2.2361,2.2361,2.8284,1.4142,2.2361,10,8,9,12.6491,9.8489,6.7082,9.0554,8.2462,10.0499
1,7.2111,11.4018,6,6,1,1.4142,2.2361,3.1623,1,2.2361,2.2361,2.2361,3,6,5,9.2195,13.6015,8.0623,6.3246,8.9443,8,11.1803
1,5,5.6569,6.0828,3.1623,1,4.4721,2.8284,5.099,3.1623,1,1.4142,4.1231,4.1231,7.6158,9.4868,8.2462,13.1529,9.0554,6.0828,8.0623,11.1803,12.1655
1,10.4403,10.4403,9.4868,9.2195,2.2361,2.2361,0,3.1623,2,1,9.434,2.8284,2.8284,7.2801,4,3.6056,4,3.6056,2.2361,2.8284,2.2361,5.3852
1,11.1803,10.4403,10.4403,9.8489,4.4721,4.4721,2.2361,2.2361,2,2.2361,3.6056,1,2,6.0828,3.1623,2.2361,1.4142,2.2361,3.6056,3.1623,3.6056,2.2361
1,10.4403,11.1803,12.083,11.1803,3.1623,4.1231,5.3852,2,5.3852,5.3852,4.2426,6.3246,3.6056,5.099,5.099,3.1623,1.4142,2.8284,3.1623,2,2.2361,5
1,8.2462,8.544,14.7648,13.0384,5.3852,5.6569,5.6569,8.0623,7.8102,4.4721,3.6056,7.8102,5,2.8284,3,2.8284,3.1623,3.1623,7.0711,8.6023,3,3
1,8.9443,6.7082,10.198,8.2462,5.3852,5,3.1623,4.2426,6.7082,5.099,5.831,8.0623,6.7082,5,2.2361,3,0,1,4,3,5,2.8284
1,7.0711,9.2195,12.083,11.1803,4,5,6.4031,7.2111,8.0623,5.099,5.3852,7,7.6158,4.2426,3.1623,2.2361,5,3.1623,5.099,6.4031,7.0711,3.6056
2,3.1623,2.2361,2.8284,1,3.1623,4.2426,3,4.1231,3.1623,3.6056,2.2361,3.6056,4.4721,5,15.2315,9.0554,4,9.4868,16.2788,7.8102,7,10.7703
2,1,0,3,1.4142,2,1,2.8284,4.2426,2,3.1623,4.4721,6.7082,2.2361,4,13,2.8284,4,5,15,6.3246,6.7082,10.4403
2,2.8284,1,3.6056,1.4142,3,2.2361,1.4142,2.2361,1.4142,1,1,6.0828,6.4031,4.1231,15.2315,9.2195,4.2426,4.1231,14.8661,7.8102,6.3246,9.2195
2,2,3.1623,2.2361,2,4.1231,2,2,3.6056,1.4142,2,2.2361,6.3246,3.6056,6.0828,17,8.0623,1.4142,5,13.4536,7.0711,6.7082,10
2,7.2801,9.434,8.6023,10,6.3246,8.0623,8.9443,11.6619,12.8062,8.4853,10.6301,10,11,11.6619,17.8045,11.4018,7.8102,19.6469,26.9072,22.6274,17.088,19.9249
2,8.9443,9.2195,6.3246,7.8102,9.0554,10.0499,9.4868,10.198,8.6023,8.6023,10,11.7047,9.2195,17.2047,17.4929,11.4018,5.831,17.72,22.6716,19.799,16.5529,18.2483
2,7.6158,10.8167,6.0828,7.0711,8,9.0554,9.434,9.2195,7.8102,8.6023,8.0623,7.6158,9.4868,10.6301,19.2094,16.1555,3.6056,19.4165,21.2603,21.2603,15.2643,17.088
